Português,Tupi Antigo
Beijei-o,Aîpyter
Levei todos,Opab arasó
Queimo campinas,Akusu-mondyk
"não deve ser, não será assim","aan ipó, aan ipó biã"
a companheira de minha mãe,xe sy'yra
"Por acaso arrancaram sua roupa, fazendo-o estar nu?",Oîaobok serã ybŷa katupe nhẽ i moingóbo?
Chamusquei-o,Asereb
Pintaste-te a boca para sorrir para os homens?,"Ereîeîuru-mopiningype, abá supé epukamirĩamo?"
suas coisas comuns,i îomba'e
Ainda que somente uma migalha dele a gente come,I kurubipûera anhõte îepé asé o'u
mentira),temo'ema
"E os cristãos transgressores da palavra de Deus, que lhes sucede?","A'epe cristãos Tupã nhe'enga abŷara, marã?"
Mata-o!,Eîuká!
"Dizendo, digo asneiras",A'é tenhẽ marã gûi'îabo
Leio-o,Asa'ang
Antigamente esses habitantes da aldeia sob minhas mãos estavam,Akûeîme kó tabygûara xe pó gûyrybo sekóû
Eu tenho palavras de rufião,Xe nhe'engarũaíb
"""Lembrai-vos da morte"", deverão dizer suas palavras","""Penhemoma'enduá te'õ resé"", e'i temone i nhe'enga"
"Este mundo é a terra prometida dos animais quadrúpedes, dos peixes e dos pássaros","So'o, pirá, gûyrá retãme'engaba é ikó 'ara"
doador de nossa vida,îandé rekobé me'engara
Continuei,Aîepotabẽ
Vós mesmos vos danais ao ficar perturbando esta aldeia,Peẽ aé peîekûá kó taba pobu-pobu
Prendeu-me este macaxera!,Xe pysyk kó makaxera!
"Vem, meu compadecedor, por tua bondade","Eîori xe poreaûsubara, nde angaturama ri"
"Aí também, certamente, o homem sofre",A'epe bé rakó abá nhupatĩû
Piorei muito de meu grande pecado,Aîerekoaíbeté xe angaîpá-katu suí
faca de taquara,takûá-kysé
Sendo tu Deus também,Tupãnamo eîkóbo bé
"rio acima, a montante",y-anhangoty
Nasci com as pernas dobradas,Oîeaparybyri a'ar
Que estejam os chefes e os moçacaras junto a mim,"Morubixá, mosakara, t'e'i ixébo!"
Sou fujão,Aîababixûer
"Quanto mais um caminhante por um caminho que não conhece se aflige, mais deseja logo ver o dia","Memeté rakó pé o emingûabe'yma rupi oguataba'e o angekotebẽnamo, korikorinhẽa'ub 'ara repîaki"
Não querendo que se apague a luz de tua alma,Nde 'anga resapesaba gûeba potare'yma
Entraram aqueles mesmos discípulos seus na casa de Anás?,Oîképe a'e i boîá aé Anás rokype?
Querendo estar em cima deles,I 'ari oîkó-potá
Conhece bem as guerras,Oîkuá-katu marana
"Minha mãe, vem!","A'i, eîori!"
Ficando de mal com Deus,Tupã resé oîeerekomemûãmo
Achaste-os por perto?,Mbype erebasẽ i xupé?
Tu tens polução?,Nde purepukype?
a vista dele,sepîaka
Essas serão teu futuro assado,Aîpó nde remixyrama
"lugar de retalhar a carne, açougue",so'o mbo'isaba
lembrança das coisas,mba'e resé ma'enduasaba
Deixei-o [o líquido] até o meio dela [a vasilha],I ku'a rupi aseîar
por baixo das brenhas dela,iî aigûyra rupi nhẽ
"Envergonhar-se-ia, talvez, o que é mau",Otĩ nhẽmo serã i angaîpaba'e
Fiquei-o esfregando com gordura,Aîkyty-kytyk mba'ekagûera pupé
Mostram-se a urdir mentiras,E'i mo'ema monhanga
"Eles mentem, um de cara para o outro","Semo'ẽ, oîobaúpa"
"estreitado em forma de pescoço, isto é, com estreitamento entre duas partes bojudas",anhurĩ
Ficaste usando como mulher o teu próximo?,Ereîmotebi-tebipe nde rapixara?
Para não fazer enlamear a alma da gente,Asé 'anga motuîukukare'yma
Fi-lo suar,Asyaîká
"Levanta-te, sê valente!","Epu'ã, nde pyatã!"
Não são segundo a quantidade deles os peixes que ele apanha,N'i îáî pirá sembiara
Indo para a borda da floresta,Ka'a-embe'ype osóbo
Não por sair eu,Na xe sẽmbeî
Tinjo-o com jenipapo,Aîmongy îanypaba resé
o que profere as ladainhas,Ladainhas ra'angara
cabo de espada,y-pûã
"Vereis também, futuramente, minha vinda sobre as nuvens",Pesepîak irã ybytinga 'arybo xe rura béne
"Portanto, como escravos do diabo tornamo-nos totalmente?",Emonãnamope anhanga remiaûsubamo pabẽ asé nhemonhangi?
"Ah, não estamos acovardados!","Erĩ, nd'oré abangabi!"
às costas,aseî
Eu estou tingido de jenipapo,Xe îanypagûer
meu sobrinho,xe ri'yra
No meio dos anjos fê-la subir,Karaibebé pyterype supiri
cheirando as coisas,mba'e retuna
"Urdiste mentiras contra alguém, desonrando-o?",-Eresekyîpe îuraragûaîa abá supé i motĩbyka?
"É discreta, falando aos homens",I kunusãî abá supé onhe'enga
"Dardejaste palavras em teu pai, respondendo ele agressivamente?","Erenhe'eng-ybõpe nde ruba, i îuruobaîtĩamo?"
Em tua direção fazendo-me voltar,Nde koty xe rerobaka
Eu sou médio,Xe reburusu nhote
Dizem que foi,Osó ra'e
"Castiga o maldito, fazendo-o correr","Moxy oînupã, i monhana"
Apisoei-o,Aîapatuká
O homem que comete furto de algo,Abá mba'e resé omondarõba'e
Acenaste com a mão para alguma mulher?,Ereîepoeîtykype kunhã amõ supé?
De lá do lugar para onde foi fez vir o Espírito Santo,Ebapó o soagûera suí Tupã Espírito Santo mbouri
Contigo Nosso Senhor está,Nde irũnamo Îandé Îara rekóû
Tua casa santa edificamos,Nde rokangaturamûama oroîmoĩ
Até mesmo gritou comigo,Xe aká tekatu nhẽ
Fiquei-as errando,Aîaby-îaby
Eis que sobre o capim ele está deitado,Kapi'i sosé kó tuî
Eu sou aleijado,Xe apar
meu parceiro,xe rapixara
Cessou a chuva,Opyk amana
"Depois disso, finalmente, volta-se em direção a eles, falando muito terrivelmente",A'e roîré ko'yté i koty obaka onhe'eng-abaetéramo
Eu não tenho com que bater,Na xe pûasabi
"Ah, que enfadonho és tu, de fato!",Tekatunheté rakûé endé hegûy!
"Sua vista aguda desaparece, tapando-se seus ouvidos","Sesapysopûera kanhemi, iî apysaká oîe'obo"
"Aquela lei nova, quem será que a trouxe?",Aîpó tekó-pysasu abá serã ogûeru?
Este santo faz aquele que a ele roga alcançar suas coisas sumidas ou seu escravo fugido,Kó santo o mongetasara oîmoîekosub i mba'e i kanhẽmbyra koîpó semiaûsuîababa supé
"Eis que estava de cor um tanto preta, certamente",Moroún-mbyry nakó
terra levantada,yby-'ama
Brinco,Anhemosaraî
Não corrigindo seu filho quando ele estiver no mal,O a'yra marãbirĩ sekóreme senonhene'yma
Os beatos e os santos que Deus faz ir consigo para o céu são muitos,Marangatuba'e santos ybakype Tupã remieroîeoîa setá
"Outrora, passando por cima dela, eu fui causa de te fazer agir","Akûeîme, i apyrasapa, xe nde moingosaba é"
"Afastou-se daqueles seus três discípulos, então?",Oîeîyîpe a'e o boîá mosapyr suí a'ereme?
Que venha para nos ajudar meu irmão mais moço,T'oú îandé pytybõmo xe rybyra
Igualmente se preocuparão em fazer seus filhos estarem na virtude?,Oîoîabenhẽpe tekokatu resé o a'yra moingoagûama ri i nhemosaînanyne?
Tu tens namorada?,Nde kunhã'ype?
Descarrega-a a ele,Eroîyb ahẽ supé
Eles estarão muitíssimo doentes,I mara'a tenhẽ
"Eu estou inchado, eu tenho calombos",Xe gûa'a-gûa'a
Em eu falando,Gûinhe'enga abé
"armadilha de ratos, ratoeira",gûabiru rupîara
"Nele a água transformou em vinho, de acordo com os pedidos de sua mãe",I pupé 'y anhẽ monhangi kaûĩnamo o sy îeruresaba rupi
Empanturrei as pessoas,Aporomoebykatã
Eu tenho a boca aberta,Xe îuru-îaî
Como o revolutear de um urubu sobre coisas fedorentas,Urubu mba'enema 'arybo nhemoîereba îabé
Eu sou molengão,Xe rekoporeaûsub
Que faziam aí os que ele faria sair consigo?,Marãpe a'e semienosegûama rekóû a'epe?
Tenho pendências com ele,Aîkó sesé
"Eia, depressa desviando-me","Ne'ĩ, taûîé, xe reîyîa"
"E por outra parte, semelhantemente, o próprio mar será mais terrível do que era seu costume",Kokoty paranã aé rame'ĩ o abaetéramo erimba'e gûekoagûera sosé
"Tão logo ao ouvir o nome dela, em outra parte eu me escondo",Serenduba rupibé amongoty xe nhemimi
o que vai buscar água,ypyasoara
Tenho-o na cintura,Xe ku'aî arekó
"Olha, arrasamos todos os tupinambás que estavam no Paraguaçu","Ma'ẽne, tupinambá Paragûasupendarûera opakatu îamombá"
Veio novamente por tua causa,Oú ramõ nde resé
Dirigiu de novo Pilatos sua fala aos judeus?,Oîmoín-y bépe Pilatos o nhe'enga îudeus supé?
"brandamente, suavemente",mbegûé-katu
Quais são os nomes da Santíssima Trindade?,Marã-marãpe Santíssima Trindade rera?
"É muito diferente, de fato, a morada dos homens da minha residência",Oîaby rakó abá rekó xe retama
"Eles, na verdade, em três pessoas se distinguem",A'e anhẽ mosapyr pessoaamo i îa'oki
Mandaste tua esposa ir em busca de mulheres?,Ereîopûaîpe nde remirekó kunhã resé?
Acima de todas as pessoas embelezou-a,Abá sosé pabẽ i momorangi
Por que será que ele não vem?,Marã serã ture'ymi?
Parece bem que sua morte fosse a finalidade com que seu pai o fez viver,Tuba i moingoaba se'õ a'e i aîarõ
Que deteste a vida má,T'aroŷrõ tekomemûã
Guardai-vos de serdes maus doravante,"Peteumẽ, pe poxyramo angiré"
Os que acreditam em sonhos,Mosaûsuba rerobîasara
Não o deixo de querer,N'aîpotare'ymi
começando a pronunciá-lo,sa'ang-ypŷabo
a que tem nome Santa Maria,Santa Maria seryba'e
O que batizou não pode casar-se com aquela que batizou,Oporoerokyba'epûera nd'e'ikatuî omendá o emierokûera resé
"Fome, sede, cansaço, quaisquer coisas sofrendo por nós","Ambyasy, 'useîa, kane'õ, mba'e tetiruã porarábo îandé resé"
Arrombei-o,Aîmonarang
Sustituindo suas palavras para os que o ouviram,Ogûenduparûera supé o nhe'enga rekobîarõmo
"Ah, excelente!","Té, aûîé-katutenhẽ!"
"cinzas do alguidar, cinzas da bacia",nha'ẽpesẽ-uba
remador de canoa,ygá-pukuîtara
casa de pedra,itá-oka
Não ia para o céu outrora a alma de nenhum homem?,Abá 'angûera amõ soe'ymi ybakype erimba'e?
Um certo judeu velho mostrou o lugar em que ela fora enterrada,Amõ îudeu-tuîba'e i tymagûera kuabe'engi
fecho da porta,okena motakaba
"Que eu não adoeça, comendo-o",Ta xe maran umẽ i gûabo
Fiz meu filho dormir comigo,Aroker xe ra'yra
Dormiu comigo,Xe posé i keri
Acaso todos os que estavam ali ficaram a injuriá-lo?,Opabenhẽ serã erimba'e a'epe tekoara iî a'oîa'oû?
Mas procedendo de que modo se está como amigo do diabo?,Marã oîkóbo-tepe asé Anhanga rembiaûsubamo sekóû?
Tiveste gozo com tuas lembranças de teus pecados antigos?,Ereîmborype nde angaîpagûera resé nde ma'enduasaba?
Mentiras levantam,Mo'ema kó omopu'ã
"Para ensinar as pessoas, assim procedeu",Oporombo'ebo nãîabé sekóû
Eu sou fibroso,Xe raîy-raîyk
Oh! Que multidão estes peixes são!,Tó te'ĩ kó pirá rekóû mã!
Eu sou garrido,Xe araakasyk
Nós somos muitos,Oré anangatu
maior algum tanto,turusu bé'ĩ
Fiquei-a beliscando,Aîpĩ-pin
"encontros das asas, isto é, a parte superior delas, onde vão fazendo a volta e onde nascem as penas maiores",pepó-ypy
"Na verdade, três vezes negarás ser meu discípulo",Mosapy ipó xe boîáramo nde rekó ereîkuakub
estátua,abá ra'angaba
Esse fez aquele céu que vemos,Kó a'e ybaka îandé remiepîakûama oîmonhang
Que eu afaste o proceder antigo para que não esteja no mal,Tekopûera t'aîpe'a t'aîkó umẽne marani
Ao estar o sol no meio do mundo,Kûarasy 'ara pyterype seneme
Estavam dormindo de aflição,Oker okûapa tekotebẽ suí nhẽ
querendo trazê-los aqui,iké seru-potá nhẽ
Detesto a vida má,Aroŷrõ tekó-poxy
cal de ostra,reri ku'i
Caçôo dele,Aîoîaî
"Enfim, obedeceram-me","Rumby, xe rapîá"
Esmigalhei-o,Aîkurubixok
"mata ótima, de boa madeira",ka'aeté
Os homens esvaziam as cuias,Oîmboapy abá kuîaba
Eu tenho covinhas,Xe pygûaî
Trazei também a ingapema!,Ingapema bé peru!
Eu tenho baceira,Xe ybypiar
Como modo de espantar o diabo,Anhanga mondyîtabamo
Que não aconteça de alguma coisa te deixar ignorante,Te'itenheumẽ mba'e amõ nde motekokuabe'yma
"Vem, ó meu senhorzinho, para que esteja muito feliz minha alma por causa do teu nascimento","Eîori, xe îarĩ gûé, ta sorybeté xe 'anga nde 'aragûera resé"
Eu tenho palavras ásperas,Xe nhe'engasy
Vesti a roupa nele,Aîaó-mondeb
Reza a gente muito frequentemente para Santa Maria?,Oîmongetá-py'i-py'ipe asé Santa Maria?
Hei de me esconder bem,Aîemĩngatu-pe ká
"o que porta pestes, coisa pestilencial",mbabyîara
Fiz que não o vi,N'asendube'ym-a'ubi - Fiz que não o ouvi N'asepîake'ym-a'ubi
Que venha neste dia para aquecer nossa alma,T'our kó 'ara pupé oré 'anga moakupa
"O dia de São Sebastião, em que ele morreu, os cristãos comemoram para se santificarem","S Sebastião 'ara, se'õagûera, cristãos oîmoeté oîemotupana"
"Entrando nos seus antigos corpos, fazendo-os levantar imediatamente","Ogûetepûera pupé oîkŷabo, i mopu'ama kûeîeténe"
"Entram grandes espinhos, espetando sua cabeça, furando-a toda","Oîké îugûasu, i akanga kutuka, opá i mombuka"
Todos os homens destrói,Opabĩ abá mondyki
"mas, de verdade",anhẽp'anhẽ
São Filipe e São Tiago são os que devem ser honrados neste dia,"S Filipe, STiago kó 'ara i moetepyra"
A morte está igualmente entre os moços e entre os velhos,Oîoîá te'õ rekóû kunumĩgûasu suí tuîba'e suí bé
amarelidão,moroîuba
A partilha entre si de suas obras por Deus,Tupã resé marã o ekó o îoupé moîa'oîa'okaba
E Judas não se afligiu junto aos judeus por entregar a seu senhor?,A'epe Îudas n'oîkotebẽî Îudeus supé o îara me'engagûera resé?
Amo-o em vão,Asaûsub-a'ub
o ofício de Pedro,Peró rekoaba
Estou sendo muito miserável,Xe poreaûsukatu gûitekóbo
"Qual é nosso consolo, então?",Mba'epe asé apysykabamo a'ereme?
Morreríamos certamente antes que contasse para as pessoas o que viu,Îamanõ îepémo serã sepîakagûera abá supé mombe'u e'ymebémo
"Ainda bem que os três, novamente, queimareis em conjunto",Iîá mosapyr-y bé pekaî oîepegûasune
"detrás da casa, atrás da casa",ó-kupépe
"Ah, beliscar-me-á hoje!","Xe pixã korine, mã!"
"pena de tucano para dança (isto é, pena que os índios levavam comumente quando dançavam",tukana tá-poraseîa
Cobrindo-o com seu véu,Opîá o akangaobĩ pupé
bom trabalhador,morabuká-katu
Apoio sua cabeça,Aî'a-kok
"roupa verde, pano verde",aoboby
"A terra ferve, ficando a estremecer","Yby obu-obur, otumu-tumunga"
Vemos sempre as suas pegadas,Îasepîak îepi i pypora
Por isso mesmo as malditas correm como faíscas de fogo,Nd'e'i te'e moxy onhana tatá piririka îá
De meu pesado sono despertando-me,Xe keranama mombaka
Sei lá!,Sé ruã!
"Lentamente, enfim, o homem perde entendimento, sua vista aguda de outrora desaparece, tentando inutilmente a fala","Mbegûé é ko'yté abá tekokuá kanhemi, sesapysopûera kanhemi, o nhe'engabûera ra'ang îepébo"
As pedras ficaram-se quebrando pelo meio,Itá oîeká-îeká oîopyterybo
"Eia, faze-me andar nas minhas virtudes",Xe katûagûama ri ene'ĩ xe mbogûatábo
"Seguindo o rastro das mulheres, os índios não desistem","Kunhã rakypûemondóbo, apŷaba n'i apysáî"
"Eia, os temiminós de dia confessam seus pecadilhos somente","Ene'ĩ, temiminõ 'arybo nhẽ oîmombe'u o angaîpá-mirĩ anhõ"
Vai para fazer cair os malditos em nosso laço!,Ekûãî moxy mbo'a îandé îusana pupé!
Eis que procuramos Jesus de Nazaré,Iesus Nazareno ikó orosekar
ovos de içá,ysá rupi'a
bolinho de pão,miapé-mirĩ
"Eva atraiu-se muito pelo belo fruto, colhendo-o",Eva onhemomotareté 'ybá-poranga resé iî ykyébo
"Aimbirê, vem diante de mim!","Aîmbiré, eîori xe robaké!"
"Após não realizar nosso pai primeiro o que Deus havia dito, a morte surgiu nele e em nós também","Tupã 'îaba îandé rubypy i mopore'ym'iré, te'õ 'ari sesé îandé resé béno"
"Hei de ir, de fato?",Asóp'ixéne é?
"Nós, enfim, havemos de voar para o paraíso",Îandé té t'îabebé Tupãrorypápe nhẽ
Veio antes que eu me preparasse,Xe nhemosako'i e'ymebé turi
O que trabalha perto de mim,Xe pyri marãtekoara
Está por aí teu pai?,Oubépe nde ruba?
os que se salvam em Deus,Tupã resé oîepysyrõba'e
Eu estou com doença venérea,Xe rakûanhaíb
Botei-me os ovos,Aîupi'a-mombor
Nossa companheira de guerras,Îandé maranirũ
Eu tenho muitas comborças,Xe nhemõîetá
Deseja ardentemente ver o nascimento de seu filho que se gera em seu ventre,O membyra gûygépe onhemonhangyba'e 'arama osepîaka'ub
homem muito preguiçoso,abá-ate'ymusu
mulher viúva,kunhã-mene'õ
Que não vejam mais o sol!,T'osepîak-y bé umẽ kûarasy!
Por isso mesmo os homens erigem-te em dirigente deles,Apŷaba nd'e'i te'e o 'ybamo nde mo'ama
Mesmo o que assassina na guerra ?,Gûariniãme oporapitiba'e tiruãpe?
Servi a comida dele,Asemi'u-erokûab
casa de telha,kamusy-oka
Isso dizes com razão,Aîpó eré supikatu
"Hoje, assim, de modo nenhum impedem nossa estada","Kori, nã, îandé rekó îandé moarûapa angá"
Eh! Onde ele está?,Tó! Mamõpe ahẽ rekóû?
Todos os seus discípulos para tuas mãos fazendo passar,Opá o boîá nde pópe i mongûapa
"Serão fedorentos, serão muito podres, corroídos de vermes e de bernes","I nem-eté, i tuîuk-eté, tasoka, ura remimongûyamone"
"Ah, que bom seria minha morte ao me batizar o padre, antes de eu pecar",Marãîasûaramo temõ abaré xe 'apiramõneme xe angaîpab'e'ymebé xe re'õ mã!
Que não prejudiquemos os que portam bens para nós,T'i momuru umẽ ma'e îara îandébe
A ele a gente pede pelo futuro viver de sua alma?,I xupépe asé îeruréû o 'anga rekorama resé?
Vou por minha vontade,Xe remimotarybo asó
Ergui a espinhela,Aîpusû'ã-mogûyr
Então as estrelas cairão pouco a pouco,A'ereme îasytatá o apakuîamo
Eu gemo dormindo,Xe keraíb
enforcador,aîubykara
"Portanto, ando hoje com o provincial",Angari abaregûasu arogûatá
Fachos para iluminar o caminho pela escuridão,Sesaý pytumimbyka rupi pé resapébo
Agradeci-o,Aîkugûab
Que chegue logo ao lugar de o matarem,T'osyk esapy'a o îukaagûãme
Deleitaste-te no teu sonho com ela?,Ereîmborype sesé nde posaûsubagûera?
Honrar a Deus,Tupã moabaeté
ainda agorinha,ramo'ĩ
Eu estou muito leve nas minhas coisas,Xe rekó-apepu-pepu
Eu estou faminto,Xe ambyasy
Virei-me a cabeça para um e outro lado,Anheakã-mobabak
Qual era mesmo o nome dele?,Marã-takó ahẽ rera?
Enfileirei-o,Asysyrung
todos os habitantes do Paraíba,opá Paraibygûara
Eu não tenho preço alto,Na xe repy-marangatuî
Que a gente honra ao erguer o padre o cálice da missa?,Mba'epe asé oîmoeté abaré itaîukamusi rupireme?
Não conheço esse homem,N'aîkuabi a'e abá
Embebedava-te o cauim,Nde mondabeypó kaûĩ
o que é igual a algo ou a alguém,îandûara
os restos de nossos pecados,asé angaîpaba rembyrûera
"Eia, nós também jejuemos","Pe'ĩ, îandé bé îaîekuakub"
"Durante a estada dele no ventre de sua mãe, Deus o santificou",O sy rygépe sekó remebé Tupã i mongaraíbi
Vinde para vos voltar para Deus,Peîori pebaka Tupã koty
No mesmo dia em que tu a comeres cairá a morte em ti,Ara nde i gûaba pupé bé o'a te'õ nde reséne
São Pedro puxou a espada,S Pedro itangapema osekyî
Trouxe as velhas de além de Magueá,Gûaîbĩ aru amõ Magûeá suí
Eu sou peçonhento,Xe ranhasy
Amo-o,Asaûsu biã
"água cheia grande, maré alta",ty-apogûasu
Hei de contar os modos de impedi-los,I moarûapaba t'aîmombe'une
Lavo-a,Aîpyeî
Destruindo a descendência daquele primeiro homem branco,A'e karaibypy îeapykaba mondyka
lugar costumeiro de minha pescaria,xe pindaeîtykatyba
Este homem trago aqui para que o reconheçais,Ikó abá arur iké ta peîkuab
"Eu sou moçacara, eu sou forte","Xe posaká, xe ratã"
"o fujão, o que tem costume de fugir",kanhembora
Quem és tu?,Abápe nde?
muito maior,turusu-katu-eté
Dar também o dízimo naquilo que plantou primeiro,O emitymbûerypy pupé Tupãpotá-me'engano
"todos juntos, todos à uma vez, à uma",oîepekatu
Sou leviano,Abebuînhẽ
Porventura tornaram-se muito maus os homens?,Onhemoangaîpabeté serã apŷaba?
Quem será que a trouxe?,Abá serã ogûeru?
"O que bebe somente o suficiente, que acontece?","Oîá nhote kagûarape, marã?"
"Que coisas, pois, eu fiz hoje?",Marã-marã-pakó îeí xe rekóû?
Sei mais que tu,Aîkuab-eté nde suí
Embelezando-te totalmente,Opabĩ nde momoranga
Em tuas mãos nossa alma está,Nde pópe oré 'anga ruî
Meu fogo é o lugar em que queimarás,Xe ratá nde kaîaûama
Nasceu para nós hoje,O'a îandébo kori
De que espécie será que é isto?,Marãba'e-p'iã ri?
"Examinando a armadilha de alguém, tomando o seu conteúdo","Abá mundé supa, i pora rá"
"Mudarei de nome hoje, por causa deles",Aîerok kori seséne
"Que aqui está deitado, aquietando-se?",Mba'epe ké tuî opyka?
Creio na nossa futura ressurreição,Arobîar asé rekobeîebyragûama
"Ao chegarem os pescadores, repartem sempre com suas amantes ruins seu pescado, pelas costas de seus senhores","Pindaîtykara îepotasápe, memẽ o agûasá-poxy supé oîmoîa'ok o embiara, o îara kupébo nhẽ"
Desceu para o centro da terra,Ogûeîyb yby apyterype
"Logo, vencendo os temiminós, habitantes daqui, eu os frequentarei","Koromõ, keygûara temiminõ moaûîébo, asapekóne"
a mim,Ixé supé
Que o faça perdoar a nós,T'omoîerekûab orébo
Os chefes velhos falam sempre a eles,Morubixaba tuîba'e onhe'eng memẽ i xupé
Importuna-me muito aquela lei nova,Xe moaîu-marangatu aîpó tekó-pysasu
Que está deitado aqui?,Mba'epe ké tuî?
Queimareis em conjunto,Pekaî oîepegûasune
Eu não duro muito,Na xe rekosûeri
Faço papa dela,Aîka'u
caminho impraticável,pé-aíba
Baixo conversemos para que não o percebam os índios,Mbegûé îaîomongetá t'onhandu umẽ abá
filhote de cão,îagûara'yra
"Iam mulheres, suas discípulas, pranteando-o",Osó kunhã semimbo'e-etá sapirõmo
"Não existem mais as suas antigas terras Todas, desde então, não contêm muita coisa",N'i tybangáî setãmbûera Opá akûeîme n'i poretáî
Tu terás a alma limpa,Nde 'ã-kytyngokyne
Parti-o pelo meio,Oîopytera rupi aîasy'ab
"corda de panacu, a que vai pela cabeça daquele que o leva",panakũ-sama
A água transformou em vinho,Y anhẽ monhangi kaûĩnamo
Dizem que o homem fez assim antes,Emonã îé abá rekóû rãé
remédio de nossos antigos desejos sensuais,moropotaragûera posanga
"Não fomos nós, mas nossos subordinados","Na oré ruã, oré kyra é"
Aí é que está! Eu estou surpreso por tua causa,Aîpó nhẽ! Xe putupab nhẽ nde ri
Sofreste a morte,Te'õ ereîporará
"Levantai-vos, vamos em seu caminho para encontrá-lo","Pepu'am, t'îasó sapépe sobaîtĩamo"
sendo ele bom,okaturamo
reflexo ou resplendor do mar,paranãendy
A causa de fuga do diabo é a água benta,Anhanga nhegûasembaba 'ykaraíba
Levo carga,Ambosyî
Eu tenho cachaço grande,Xe aîurupygûasu
Eu estou estirado,Aîepysó gûitupa
"Meu ex-marido há de ser, certamente",Xe mendûera ipó re'ĩ
remédio bom,mosãngatu
Venho não tendo a intenção de que me alimentem,Aîur ta xe poî na ûi'îabo ruã
"Não teve mãe, não tem corpo, não teve começo","N'i xyî, na setéî, n'i ypyî"
o que tem olhos que são luxuriosos,sesá-poropotaryba'e
Eu tenho casca estalada,Xe pé-pok
Que somente a ti eu ame,Nde anhõ t'oroaûsu
"Eu sou o que é antigo, o de tempos atrás",Erimba'endûarûera ixé
Quebrei-me,Aîeká
Por que bates em mim?,Marãpe erepûar xe resé?
Eu tenho pernas tortas,Xe retymãnhemang
Ainda que eu já fosse,Aûîebé-te xe só-umani
Contigo sempre estamos,Nde resé memẽ oroîkó
É por isso que o batizais junto ao padre,Aîporama resé é peîmongaraíb abaré pyri
"E ao partir muitas vezes o padre a hóstia em pedaços, em cada pedaço Nosso Senhor Jesus Cristo está?",A'epe abaré hóstia pese'õ-etá-etáreme i pese'õmbûera îabi'õ Îandé Îara Îesu Cristo rekóû?
Vou em busca de meu pai,Asó xe ruba pé
habitante de fronteira,tatobapyygûara
Amarrai os malditos!,Peîpûá muru!
Quando foi para visitá-la? -Por ocasião da gravidez de seu filho São João,-Erimba'epe i xóû i xupa? -I membyra São João rurureme
enseada ou baía de mar,paranãngûá
Muito bem!,Aûîé ipó!
Por que a gente reconhece o dia dos santos?,Marãnamope asé santos 'ara kuabi?
"Derramando o seu sangue, ficaram a açoitá-lo","Sugûy mombukapa, îaînupã-nupã"
Eis que até mesmo contra Deus murmura,Tupã resé tiruã kó nhe'enga reîtyki
Eu me escafedo ao ir,- Xe rembyrĩ gûixóbo
Dentro de uma casinha estás,Ó-mirĩ pupé ereîkó
"Quem o fez outrora, começando a pronunciá-lo?","Abápe aîpoba'e oîmonhang erimba'e, sa'angypŷabo?"
Trouxe todo o peixe,Aru-pab pirá
Minha casa está escura,I pytun xe roka
"Forçaste alguma mulher, sendo tu ladino com ela?","Ereîukaípe kunhã amõ, sesé nde ara'apy'iramo?"
Não sei,N'a'ekatuî
"Ah, transgredi muitíssimo as palavras de meu criador!",Aîaby-eteté xe monhangara nhe'enga mã!
Furtaste na roça de teu próximo?,Eremondarõpe nde rapixaba kópe?
De maneira nenhuma,-Setápe asé nhemongaraíbi? - Aani - A gente batiza-se muitas vezes?
A palavra de Deus experimentei,Tupã nhe'enga asa'ang
Desci com eles,Aroapy'am
Coisa enlameada!,Mba'e-u'uma!
Por isso mesmo eles não se deleitam com as boas coisas,Nd'e'i te'e mba'e-katu resé oîekosube'yma
uns aos outros,o îoupé-upé
Vais definitivamente,Eresó nhẽ peũî
Corto-lhe a pele,Aîpi-mondok
Vou em busca de água,Y piaramo asó
Maravilhou-te a vista de homens belos?,Nde angerasópe abá-porangepîaka?
Faremos o que ele fez,Semimonhangûera îamonhangyne
Caço,Aka'amondó
"Minha nação, outrora, estava de acordo com a cultura primeira","Xe anama, erimba'e, tekó-ypyramo sekóû"
Eu sou garrido,Xe arũaíb
Mas chorai por vós mesmas,Peẽ aé-te peîeapirõ
Por seus rastros é que vamos,Sakypûera rupi é îasó
Aqui vem um urutaurana,Ké urutaûrana ruri!
Lacei-o pelo pescoço,Aîaîurar
Fazendo-os levantar imediatamente,I mopu'ama kûeîeténe
baliza do caminho,pé kugûapaba
"Daí ía para longe, frequentando outras aldeias","Kûé suí asó mamõ, amõ taba rapekóbo"
Com toda uma corda amarraram-no,Opá sama pupé i apytĩû
"Ao comer junto dos seus discípulos, o pão devolveu como seu corpo Kapi'ĩ sosé kó tuî, tapi'irusu karûápe - Eis que sobre o capim ele está deitado, no lugar em que a vaca come","Gûemimbo'e pyri o karûápe, miapé moîebyû gûetéramo"
"Tu, no paraíso para sempre estás","Endé, Tupã rorypápe aûîeramanhẽ ereîkó"
"Tende-o por vontade, tende-o para matá-lo","Perekó potasábo é, perekó i îukábo"
morcegão voador,andyragûasu-bebé
Vim do céu pelo interior de vossas ocas,Aîur ybaka suí pe rokybỹîa rupi
o que se envergonha,otĩba'e
Sou leve,Abebuîkatu
Eis aqui também a ingapema pintada,Kó bé ingapé-kûatiara
"Mas vinho mesmo, de fato, colocam dentro dele?",Kaûĩ aé ruã-tepe ybŷá onong i pupé?
Catei-lhe a cabeça,Aî'abiú
